tree_number	ui	name
B03.440.400.425.450.450.500	D016952	Legionella pneumophila
B03.440.400.425.475	D016953	Leptospiraceae
B03.440.400.425.475.475	D007919	Leptospira
B03.440.400.425.475.475.400	D007921	Leptospira interrogans
B03.440.400.425.475.475.400.050	D041281	Leptospira interrogans serovar australis
B03.440.400.425.475.475.400.055	D041301	Leptospira interrogans serovar autumnalis
B03.440.400.425.475.475.400.150	D041341	Leptospira interrogans serovar canicola
B03.440.400.425.475.475.400.400	D041343	Leptospira interrogans serovar hebdomadis
B03.440.400.425.475.475.400.420	D041383	Leptospira interrogans serovar icterohaemorrhagiae
B03.440.400.425.475.475.400.650	D041401	Leptospira interrogans serovar pomona
B03.440.400.425.481	D042743	Leptothrix
B03.440.400.425.487	D042082	Methylobacteriaceae
B03.440.400.425.487.500	D020580	Methylobacterium
B03.440.400.425.487.500.150	D020601	Methylobacterium extorquens
B03.440.400.425.500	D008772	Methylococcaceae
B03.440.400.425.500.500	D020618	Methylococcus
B03.440.400.425.500.500.100	D020619	Methylococcus capsulatus
B03.440.400.425.500.505	D020620	Methylomonas
B03.440.400.425.525	D042762	Methylophilaceae
B03.440.400.425.525.500	D020631	Methylobacillus
B03.440.400.425.525.520	D020629	Methylophilus
B03.440.400.425.525.520.500	D020630	Methylophilus methylotrophus
B03.440.400.425.537	D044007	Moraxellaceae
B03.440.400.425.537.050	D000150	Acinetobacter
B03.440.400.425.537.050.099	D040981	Acinetobacter baumannii
B03.440.400.425.537.050.200	D016954	Acinetobacter calcoaceticus
B03.440.400.425.537.525	D009016	Moraxella
B03.440.400.425.537.525.200	D001936	Moraxella catarrhalis
B03.440.400.425.537.525.500	D016955	Moraxella bovis
B03.440.400.425.537.650	D044096	Psychrobacter
B03.440.400.425.550	D009346	Neisseriaceae
B03.440.400.425.550.400	D017881	Kingella
B03.440.400.425.550.400.375	D017882	Kingella kingae
B03.440.400.425.550.550	D009343	Neisseria
B03.440.400.425.550.550.125	D042804	Neisseria cinerea
B03.440.400.425.550.550.299	D042805	Neisseria elongata
B03.440.400.425.550.550.474	D009344	Neisseria gonorrhoeae
B03.440.400.425.550.550.600	D042806	Neisseria lactamica
B03.440.400.425.550.550.641	D009345	Neisseria meningitidis
B03.440.400.425.550.550.641.700	D038381	Neisseria meningitidis, Serogroup A
B03.440.400.425.550.550.641.710	D038541	Neisseria meningitidis, Serogroup B
B03.440.400.425.550.550.641.720	D038542	Neisseria meningitidis, Serogroup C
B03.440.400.425.550.550.641.800	D038582	Neisseria meningitidis, Serogroup W-135
